date,vendor,time,attendees,site
2023-08-04,Growlers & Flowers,6-9pm,,https://pittsburghbotanicgarden.org/events/growlers-flowers/
2023-08-05,Lawrenceville Art Crawl ,All Day ,,
2023-08-10,Meet the Seller Panel,5-8pm,,https://www.instagram.com/storehouseneutral/
2023-08-14,Lolev - Puzzle Challenge ,7-9p,,
2023-08-17,Fermented Beverages,6-7:45pm,,https://www.eventbrite.com/e/fermented-beverages-kombucha-to-wild-soda-tickets-676753577167?aff=oddtdtcreator
2023-08-19,Rhythm & Brews,4-9pm,,https://secure.qgiv.com/for/bonafidebellevue/event/rhythmandbrews2023
2023-08-22,SOGIE Run Club,6-9pm,,
2023-08-24,Dungeons and Drafts,7-10pm ,,
2023-08-28,Lolev - Puzzle Challenge ,7-9pm,,
2023-09-02,Flash Tattoos,12-10pm,,https://www.inkadinkadoo.net/
2023-09-20,Yinz Run Club ,7:00 PM,50-100,
2023-11-26,G & E Hafla,5-8pm,,https://www.instagram.com/pittsburghveganexpo/
