"vendor","date","time","site","day","start","finish","week","dayNumber"
"","2023-03-26","","","Sunday","","","4","1"
"","2023-04-02","","","Sunday","","","1","1"
"","2023-04-03","","","Monday","","","1","2"
"","2023-04-04","","","Tuesday","","","1","3"
"","2023-04-09","","","Sunday","","","2","1"
"","2023-04-10","","","Monday","","","2","2"
"","2023-04-17","","","Monday","","","3","2"
"","2023-04-18","","","Tuesday","","","3","3"
"","2023-04-24","","","Monday","","","4","2"
"","2023-04-26","","","Wednesday","","","4","4"
"","2023-05-01","","","Monday","","","1","2"
"","2023-05-08","","","Monday","","","2","2"
"","2023-05-14","","","Sunday","","","2","1"
"","2023-05-15","","","Monday","","","3","2"
"","2023-05-16","","","Tuesday","","","3","3"
"","2023-05-18","","","Thursday","","","3","5"
"","2023-05-22","","","Monday","","","4","2"
"","2023-05-29","","","Monday","","","5","2"
"","2023-05-30","","","Tuesday","","","5","3"
"","2023-06-05","","","Monday","","","1","2"
"","2023-06-12","","","Monday","","","2","2"
"","2023-06-26","","","Monday","","","4","2"
"","2023-07-02","","","Sunday","","","1","1"
"","2023-07-03","","","Monday","","","1","2"
"","2023-07-04","","","Tuesday","","","1","3"
"","2023-07-05","4-9pm","","Wednesday","4pm","9pm","1","4"
"","2023-07-06","5-9pm","","Thursday","5pm","9pm","1","5"
"","2023-07-10","","","Monday","","","2","2"
"","2023-07-17","","","Monday","","","3","2"
"","2023-07-24","","","Monday","","","4","2"
"","2023-07-31","","","Monday","","","5","2"
"","2023-08-07","","","Monday","","","1","2"
"","2023-08-14","","","Monday","","","2","2"
"","2023-08-21","","","Monday","","","3","2"
"","2023-08-28","","","Monday","","","4","2"
"","2023-09-05","","","Tuesday","","","1","3"
"","2023-09-11"," ","","Monday"," "," ","2","2"
"","2023-09-17","1-7pm","","Sunday","1pm","7pm","3","1"
"","2023-09-18","","","Monday","","","3","2"
"","2023-09-22"," ","","Friday"," "," ","4","6"
"","2023-09-25","","","Monday","","","4","2"
"","2023-09-29","","","Friday","","","5","6"
"","2023-10-02","","","Monday","","","1","2"
"","2023-10-08","","","Sunday","","","2","1"
"","2023-10-09","","","Monday","","","2","2"
"","2023-10-16","","","Monday","","","3","2"
"","2023-10-23","","","Monday","","","4","2"
"","2023-10-25","","","Wednesday","","","4","4"
"","2023-10-30","","","Monday","","","5","2"
"","2023-10-31","","","Tuesday","","","5","3"
"","2023-11-02","","","Thursday","","","1","5"
"","2023-11-06","","","Monday","","","1","2"
"","2023-11-07","","","Tuesday","","","1","3"
"","2023-11-13","","","Monday","","","2","2"
"","2023-11-14","","","Tuesday","","","2","3"
"","2023-11-20","","","Monday","","","3","2"
"","2023-11-21","","","Tuesday","","","3","3"
"","2023-11-23","","","Thursday","","","4","5"
"","2023-11-25","","","Saturday","","","4","7"
"","2023-11-27","","","Monday","","","4","2"
"","2023-11-29"," ","","Wednesday"," "," ","5","4"
"","2023-12-04","","","Monday","","","1","2"
"","2023-12-05","","","Tuesday","","","1","3"
"","2023-12-06","","","Wednesday","","","1","4"
"","2023-12-07","","","Thursday","","","1","5"
"","2023-12-11","","","Monday","","","2","2"
"","2023-12-12","","","Tuesday","","","2","3"
"","2023-12-14","","","Thursday","","","2","5"
"","2023-12-18","","","Monday","","","3","2"
"","2023-12-19","","","Tuesday","","","3","3"
"","2023-12-21","","","Thursday","","","3","5"
"","2023-12-23","","","Saturday","","","4","7"
"","2023-12-24","","","Sunday","","","4","1"
"","2023-12-25","","","Monday","","","4","2"
"","2023-12-26","","","Tuesday","","","4","3"
"","2023-12-29","","","Friday","","","5","6"
"","2024-01-01","5-9pm","","Monday","5pm","9pm","1","2"
"","2024-01-02","5-9pm","","Tuesday","5pm","9pm","1","3"
"","2024-01-03","5-9pm","","Wednesday","5pm","9pm","1","4"
"","2024-01-05","5-9pm","","Friday","5pm","9pm","1","6"
"","2024-01-06","1-8pm","","Saturday","1pm","8pm","1","7"
"","2024-01-08","5-9pm","","Monday","5pm","9pm","2","2"
"","2024-01-09","5-9pm","","Tuesday","5pm","9pm","2","3"
"","2024-01-10","5-9pm","","Wednesday","5pm","9pm","2","4"
"","2024-01-15","5-9pm","","Monday","5pm","9pm","3","2"
"","2024-01-16","5-9pm","","Tuesday","5pm","9pm","3","3"
"","2024-01-17","5-9pm","","Wednesday","5pm","9pm","3","4"
"","2024-01-22","5-9pm","","Monday","5pm","9pm","4","2"
"","2024-01-23","5-9pm","","Tuesday","5pm","9pm","4","3"
"","2024-01-24","5-9pm","","Wednesday","5pm","9pm","4","4"
"","2024-01-26","5-9pm","","Friday","5pm","9pm","4","6"
"","2024-01-27","1-8pm","","Saturday","1pm","8pm","4","7"
"","2024-01-29","5-9pm","","Monday","5pm","9pm","5","2"
"","2024-01-30","5-9pm","","Tuesday","5pm","9pm","5","3"
"","2024-01-31","5-9pm","","Wednesday","5pm","9pm","5","4"
"","2024-02-02","5-9pm","","Friday","5pm","9pm","1","6"
"","2024-02-03","1-8pm","","Saturday","1pm","8pm","1","7"
"","2024-02-05","5-9pm","","Monday","5pm","9pm","1","2"
"","2024-02-06","5-9pm","","Tuesday","5pm","9pm","1","3"
"","2024-02-07","5-9pm","","Wednesday","5pm","9pm","1","4"
"","2024-02-12","5-9pm","","Monday","5pm","9pm","2","2"
"","2024-02-13","5-9pm","","Tuesday","5pm","9pm","2","3"
"","2024-02-14","5-9pm","","Wednesday","5pm","9pm","2","4"
"","2024-02-19","5-9pm","","Monday","5pm","9pm","3","2"
"","2024-02-20","5-9pm","","Tuesday","5pm","9pm","3","3"
"","2024-02-21","5-9pm","","Wednesday","5pm","9pm","3","4"
