variant,cansAvailable,name,salePrice,type,abv,cansSingle,fourPack
sonnen,TRUE,Sonnen,FALSE,Märzen,5.4,4.50,17
samo,TRUE,Samo,FALSE,Pilsner,4.8,4.00,15
grandar,TRUE,Grandar,FALSE,Imperial Pilsner,6.6,4.25,16
ddh-lupula,TRUE,DDH Lupula,FALSE,India Pale Ale,7,,20
taupo,TRUE,Taupō,FALSE,India Pale Ale,7,4.50,17
lupula,TRUE,Lupula,FALSE,India Pale Ale,7,4.50,17
ddh-akko,TRUE,DDH Akko,FALSE,India Pale Ale,7,,20
ddh-taupo,TRUE,DDH Taupō,FALSE,India Pale Ale,7,,20
verus,TRUE,Verus,FALSE,India Pale Ale,7,4.50,17
double-lupula,TRUE,Double Lupula,FALSE,Double IPA,8.4,5.25,20
double-prismatic,TRUE,Double Prismatic,FALSE,Double IPA,8.3,5.25,20
rubico,TRUE,Rubico,FALSE,Double IPA,8.5,5.25,20
