date,vendor,time,attendees,site,end
2025-07-25,Studio Z Cycle's No Shower Happy Hour,6:05pm,,https://www.instagram.com/studiozcycle,
2025-08-15,Studio Z Cycle's No Shower Happy Hour,6:05pm,,https://www.instagram.com/studiozcycle,
2025-08-23,Anthony Sorce - Live Music ,7-9pm ,,https://www.instagram.com/ztownstreetband,
2025-08-30,David Noal & Al Bowers - Live Music ,7:30pm-9:30pm,,https://www.davidnoalmusic.com,
,,,,,
2025-09-13,Shelley Duff - Live Music,7-9pm,,https://www.instagram.com/shelleyduff,
2025-09-20,Skye Burkett - Live Music,7-9pm,,https://www.instagram.com/skye_burkett,
2025-09-27,David Didio - Live Music,7-9pm,,https://www.instagram.com/notorious.dr.d,
2025-10-11,Adam Fitz - Live Music,7-9pm ,,https://www.instagram.com/adamfitzmusic,
2025-10-18,Vince Burgess - Live Music ,7-9pm,,,
2025-10-25,Eclectic Acoustics - Live Music,7-9pm,,https://www.eclectic-acoustics.com,
