vendor,date,time,site,day,start,finish,week,dayNumber
,2025-04-29,,,Tuesday,,,5,3
,2025-04-30,,,Wednesday,,,5,4
Aviva Brick Oven,2025-05-01,5-9pm,https://www.instagram.com/avivabrickoven/,Thursday,5pm,9pm,1,5
Aviva Brick Oven,2025-05-02,5-9pm,https://www.instagram.com/avivabrickoven/,Friday,5pm,9pm,1,6
,2025-05-03,,,Saturday,,,1,7
,2025-05-04,,,Sunday,,,1,1
,2025-05-05,,,Monday,,,1,2
,2025-05-06,,,Tuesday,,,1,3
,2025-05-07,,,Wednesday,,,1,4
Aviva Brick Oven,2025-05-08,,https://www.instagram.com/avivabrickoven/,Thursday,,,2,5
Mr. Bulgogi,2025-05-09,,https://www.instagram.com/mrbulgogifoodtruck,Friday,,,2,6
Talk'n Tacos,2025-05-10,4-9pm,https://www.facebook.com/p/Talkn-Tacos-61560751041801/,Saturday,4pm,9pm,2,7
,2025-05-11,,,Sunday,,,2,1
,2025-05-12,,,Monday,,,2,2
,2025-05-13,,,Tuesday,,,2,3
,2025-05-14,,,Wednesday,,,2,4
Meatman BBQ ,2025-05-15,,https://www.facebook.com/meatmanbarbeque/,Thursday,,,3,5
Chubbys Pizza Wagon,2025-05-16,5-9pm,https://www.instagram.com/chubbys_pizza_wagon/,Friday,5pm,9pm,3,6
Barbirou Gyro,2025-05-17,,https://www.instagram.com/barbirou_greek_gyro_,Saturday,,,3,7
,2025-05-18,,,Sunday,,,3,1
,2025-05-19,,,Monday,,,3,2
,2025-05-20,,,Tuesday,,,3,3
,2025-05-21,,,Wednesday,,,3,4
Wild Lotus ,2025-05-22,,https://www.instagram.com/wildlotusft/,Thursday,,,4,5
Papa Wood BBQ ,2025-05-23,,https://www.instagram.com/papawoodbbq?igsh=MTVsMHRsb2lsamRybA==,Friday,,,4,6
Barbirou Gyro,2025-05-24,,https://www.instagram.com/barbirou_greek_gyro_,Saturday,,,4,7
,2025-05-25,,,Sunday,,,4,1
,2025-05-26,,,Monday,,,4,2
,2025-05-27,,,Tuesday,,,4,3
,2025-05-28,,,Wednesday,,,4,4
Meatman BBQ ,2025-05-29,,https://www.facebook.com/meatmanbarbeque/,Thursday,,,5,5
,2025-05-30,,,Friday,,,5,6
Wild Lotus ,2025-05-31,,https://www.instagram.com/wildlotusft/,Saturday,,,5,7
Ash & Kris Kitchen ,2025-06-01,,https://www.instagram.com/ashandkriskitchen?igsh=MWFuZml5OW1nOXB4cQ==,Sunday,,,1,1
,2025-06-02,,,Monday,,,1,2
,2025-06-03,,,Tuesday,,,1,3
,2025-06-04,,,Wednesday,,,1,4
77 Club,2025-06-05,,https://www.instagram.com/77club_pgh,Thursday,,,1,5
,2025-06-06,,,Friday,,,1,6
,2025-06-07,,,Saturday,,,1,7
,2025-06-08,,,Sunday,,,2,1
,2025-06-09,,,Monday,,,2,2
,2025-06-10,,,Tuesday,,,2,3
,2025-06-11,,,Wednesday,,,2,4
Aviva Brick Oven,2025-06-12,,https://www.instagram.com/avivabrickoven/,Thursday,,,2,5
,2025-06-13,,,Friday,,,2,6
Meatman BBQ ,2025-06-14,,https://www.facebook.com/meatmanbarbeque/,Saturday,,,2,7
,2025-06-15,,,Sunday,,,3,1
,2025-06-16,,,Monday,,,3,2
,2025-06-17,,,Tuesday,,,3,3
,2025-06-18,,,Wednesday,,,3,4
Aviva Brick Oven,2025-06-19,,https://www.instagram.com/avivabrickoven/,Thursday,,,3,5
EF'n Good BBQ,2025-06-20,,https://instagram.com/efngoodbbq,Friday,,,3,6
,2025-06-21,,,Saturday,,,3,7
,2025-06-22,,,Sunday,,,4,1
,2025-06-23,,,Monday,,,4,2
,2025-06-24,,,Tuesday,,,4,3
,2025-06-25,,,Wednesday,,,4,4
Aviva Brick Oven,2025-06-26,,https://www.instagram.com/avivabrickoven/,Thursday,,,4,5
,2025-06-27,,,Saturday,,,4,6
,2025-06-28,,,Saturday,,,4,7
,2025-06-29,,,Sunday,,,5,1
,2025-06-30,,,Monday,,,5,2
,2025-07-01,,,Tuesday,,,1,3
,2025-07-02,,,Wednesday,,,1,4
77 Club,2025-07-03,,https://www.instagram.com/77club_pgh,Thursday,,,1,5
,2025-07-04,,,Friday,,,1,6
,2025-07-05,,,Saturday,,,1,7
,2025-07-06,,,Sunday,,,1,1
,2025-07-07,,,Monday,,,1,2
,2025-07-08,,,Tuesday,,,2,3
,2025-07-09,,,Wednesday,,,2,4
Los Gallitos,2025-07-10,,https://www.instagram.com/losgallitospgh,Thursday,,,2,5
,2025-07-11,,,Friday,,,2,6
