Market Types,Retail Accounts,Address,City,Account #,State,Zip Code,Phone,Sold Period: 30 Days 3/10/2025 thru 4/8/2025,Unsold Period: 90 Days 12/10/2024 thru 3/9/2025,Count of New Retail Accounts
SUPERMARKET,WEGMAN'S #67  TITUS,525 TITUS AVENUE,ROCHESTER,W2597,NY,14617,5852664090,16.000000000001,0,1
SUPERMARKET,WEGMANS STORE #11/CDGA.,345 EASTERN BLVD.,CANANDAIGUA,W3950,NY,14424,5853944820,13.333333333335,0,1
SUPERMARKET,WEGMAN'S #25 PITTSFORD,3195 MONROE AVENUE,PITTSFORD,W2625,NY,14618,5855866680,13.333333333333,0,1
SUPERMARKET,WEGMAN'S #18 EAST AVE,1750 EAST AVENUE,ROCHESTER,W2615,NY,14610,5852447950,13.333333333332,0,1
SUPERMARKET,WEGMAN'S #63 PENFIELD,2155 PENFIELD ROAD,PENFIELD,W2639,NY,14526,5852483200,13.333333333331,0,1
SUPERMARKET,WEGMAN'S #68 CHILI-PAUL,3175 CHILI AVENUE,ROCHESTER,W2593,NY,14624,5854265010,11.999999999999,0,1
SUPERMARKET,WEGMAN'S #03 EMPIRE,1950 EMPIRE BOULEVARD,WEBSTER,W2585,NY,14580,5856718290,7.999999999999,0,1
SUPERMARKET,WEGMAN'S #22 CALKINS ROAD,745 CALKINS ROAD,ROCHESTER,W2620,NY,14623,5853344010,7.999999999998,0,1
SUPERMARKET,WEGMAN'S #24 PERINTON,6600 PITTSFORD-PALMYRA RD,FAIRPORT,W2627,NY,14450,5852234092,5.333333333333,0,1
SUPERMARKET,WEGMAN'S #20 MT READ,3701 MT READ BOULEVARD,ROCHESTER,W2619,NY,14616,5856634120,5.333333333332,0,1
SUPERMARKET,WEGMAN'S #13 LYELL,2301 LYELL AVENUE,ROCHESTER,W2605,NY,14606,5854295080,5.333333333332,0,1
SUPERMARKET,WEGMAN'S #12 WEST RIDGE,2833 RIDGE ROAD WEST,ROCHESTER,W2603,NY,14616,5857236001,3.999999999999,0,1
SUPERMARKET,WEGMAN'S #04 EAST ROCH,851 FAIRPORT ROAD,EAST ROCHESTER,W2587,NY,14445,5855868340,3.999999999999,0,1
SUPERMARKET,WEGMAN'S #65 BROCKPORT,6660 FOURTH SECTION ROAD,BROCKPORT,W2613,NY,14420,5856373111,2.666666666666,0,1
SUPERMARKET,WEGMAN'S #26 GENESEO,4276 LAKEVILLE ROAD,GENESEO,W4310,NY,14454,5852439000,2.666666666666,0,1
SUPERMARKET,WEGMAN'S #74/GENEVA,300 HAMILTON STREET,GENEVA,W4245,NY,14456,3157811591,2.666666666666,0,1
RESTAURANT/BAR,MACGREGORS            #03,300 JEFFERSON RD,ROCHESTER,J5530,NY,14623,5854278410,27.555555555556,0,1
RESTAURANT/BAR,LOVIN CUP,300 PARK POINT DR STE 101,ROCHESTER,L8908,NY,14623,15852929940,6.888888888889,0,1
RESTAURANT/BAR,THE SHEFFIELD,1776 MONROE AVE.,ROCHESTER,S2593,NY,14618,5858486183,6.888888888889,0,1
RESTAURANT/BAR,CHURCHVILLE GRILL,42 S. MAIN STREET,CHURCHVILLE,H5950,NY,14428,5857554247,2.666666666666,0,1
RESTAURANT,TRATA,145 CULVER ROAD,ROCHESTER,A8715,NY,14610,5852705460,13.777777777778,0,1
RESTAURANT,GATE HOUSE CAFE,274 N.GOODMAN ST UNITB116,ROCHESTER,G0010,NY,14607,5854732090,6.888888888889,0,1
RESTAURANT,SALVATORES JEFFERSON,352 JEFFERSON RD,ROCHESTER,S0028,NY,14625,15854275555,6.888888888889,0,1
RESTAURANT,GOOD LUCK,50 ANDERSON AVE,ROCHESTER,G5202,NY,14607,5853406161,6.888888888889,0,1
RESTAURANT,MARTINE,647 SOUTH AVE,ROCHESTER,M0330,NY,14620,5857522673,2.666666666667,0,1
RESTAURANT,COHO PIZZA & WINE BAR,811 S MAIN ST,CANANDAIGUA,C0811,NY,14424,15858026448,2.295138888889,0,1
RESTAURANT,COMPANE,25 PARCE AVE STE 140,FAIRPORT,C6652,NY,14450,15857493959,2.295138888889,0,1
RESTAURANT,THE VESPER,1 CAPRON STREET UNIT A,ROCHESTER,V7852,NY,14604,5854152946,2.295138888889,0,1
COLLEGE BAR,CAPT' JACKS GOODTIME TAV,8505 GREIG STREET,SODUS POINT,C8505,NY,14555,15857292041,6.888888888889,0,1
COLLEGE BAR,THE RED JUG PUB,38 MERCHANTS STREET,BROCKPORT,R0038,NY,14420,6074233269,6.888888888889,0,1
COLLEGE BAR,EMBER WOODFIRE GRILL,21 LIVONIA STREET,LIVONIA,E7222,NY,14487,15853460222,2.295138888889,0,1
GROCERY-GENERAL,NORTH GREECE GROCERY,502 LONG POND RD,ROCHESTER,N6851,NY,14612,5853554660,3.999999999999,0,1
GROCERY-GENERAL,FOOD TOWNE OF N.CHILI,4390 BUFFALO RD.,NORTH CHILI,F6580,NY,14514,5855941234,2.666666666666,0,1
GROCERY-GENERAL,R'S MARKET,2294 MONROE AVE,ROCHESTER,R0654,NY,14618,15855071354,1.333333333333,0,1
MARINA/LAKE,ROCHESTER YACHT CLUB,5555 ST PAUL BLVD.,ROCHESTER,R7590,NY,14617,5853425511,6.888888888889,0,1
BAR,HALF PINT,363 PARK AVE,ROCHESTER,H1020,NY,14607,5854297238,6.888888888889,0,1
SPORTS BAR,FIRESIDE GRILL&SPORTS BAR,3939 EAST HENRIETTA RD,HENRIETTA,F1650,NY,14467,15854864611,6.888888888889,0,1
DRIVE-THRU,BEERS OF THE WORLD,2599 E. HENRIETTA RD.,ROCHESTER,A7304,NY,14623,5853340034,6.666666666665,0,1
BAR/TAVERN/C.L.,TR NOONANS,7408 PITTSFORD PALMYRA RD,FAIRPORT,N6156,NY,14450,15852230255,4.590277777778,0,1
THEME BAR-,MULLER'S CIDER HOUSE,1344 UNIVERSITY AVE STE 1,ROCHESTER,M6722,NY,14607,15852875875,3.628472222222,0,1
BOWLING ALLEY,RADIO SOCIAL,20 CARLSON ROAD,ROCHESTER,R8593,NY,14610,5852441484,3.628472222222,0,1
CONVENIENCE-GEN,ONE STOP BREW SHOP,2512 RIDGEWAY AVENUE,ROCHESTER,O8240,NY,14626,5857308299,2.666666666666,0,1
GAS & CONVENIEN,A+ MINI MARKET,900 SOUTH WASHINGTON ST,EAST ROCHESTER,M0033,NY,14445,5853815764,1.333333333333,0,1
GAS & CONVENIEN,AVON MARKET,11 EAST MAIN STREET,AVON,A9450,NY,14414,15852263518,1.333333333333,0,1
DELI,RUBINO ITALIAN FOODS,1304 RIDGE ROAD EAST,ROCHESTER,R8800,NY,14621,5855445680,2.666666666666,0,1
OTHER-ONPREMISE,FATTEY BEER COMPANY,60 ADVENTURE PLACE,ROCHESTER,F6000,NY,14607,7167137422,2.666666666666,0,1
OTHER-OFF PREM,AMAN'S FARM MARKET,2458 RIDGE ROAD EAST,ROCHESTER,A6236,NY,14622,5855448360,2.666666666666,0,1
GOLF-PUBLIC,CLUB AT CLIFTON LLC,2721 TOWNLINE RD,CLIFTON SPRINGS,C4321,NY,14432,13154629699,2.295138888889,0,1
ITALIAN,UNION BLOCK ITALIAN,138 WATER ST,PENN YAN,U7350,NY,14527,16072464065,2.295138888889,0,1
CTRY/GOLF CLUB,COUNTRY CLUB OF ROCHESTER,2935 EAST AVENUE,ROCHESTER,C8487,NY,14610,5853811800,2.295138888889,0,1
COCKTAIL LOUNGE,FLIGHT WEST,836 LONG POND RD,ROCHESTER,F7071,NY,14612,5854175332,1.333333333333,0,1
TAVERN,TRYON CITY TAVERN,2300 EAST MAIN ST./UNIT 1,ROCHESTER,T2300,NY,14609,5859443577,6.888888888889,0,1
TAVERN,KERNY'S PUB,2001 E  MAIN ST,ROCHESTER,K3575,NY,14609,5853191751,2.295138888889,0,1
BAR/TAVERN/C.L.,THE BEER MARKT/BEERHD BAR,1401 MT.HOPE AVE.,ROCHESTER,B1408,NY,14620,5852442337,6.888888888889,0,1
RESTAURANT/BAR,THE BASIN PUB,637 PITTSFORD VICTOR ROAD,PITTSFORD,P9986,NY,14534,15853851113,6.888888888889,0,1
SUPERMARKET,WEGMAN'S #06 NEWARK,1 W MILLER FINCH ST,NEWARK,W2591,NY,14513,3153314440,6.666666666665,0,1
GAS & CONVENIEN,7-11 STORE # 35197,890 MONROE AVE.,ROCHESTER,S3035,NY,14620,5852717085,1.333333333333,0,1

