variant,cansAvailable,name,salePrice,type,abv,cansSingle,fourPack
edo-anniversary,TRUE,Edo Anniversary,FALSE,Japanese Rice Lager,4.3,4.00,15
vespero,TRUE,Vespero,FALSE,Czech Dark Lager,5.8,4.25,16
tides-ii-anniversary,TRUE,Tides II Anniversary,FALSE,India Pale Ale,7.5,4.75,18
lupula,TRUE,Lupula,FALSE,India Pale Ale,7,4.50,17
akko,TRUE,Akko,FALSE,India Pale Ale,7,4.50,17
edge,TRUE,Edge,FALSE,West Coast IPA,7.7,5.75,22
double-lupula-anniversary,TRUE,Double Lupula Anniversary,FALSE,Double IPA,8.5,5.50,21
origen,TRUE,Origen,FALSE,Double IPA,7.8,5.75,22
harvest,TRUE,Harvest,FALSE,Double IPA,8,5.75,22
capax,TRUE,Capax,FALSE,Double IPA,8.1,5.75,22
rubico-ii,TRUE,Rubico II,FALSE,Double IPA,8.6,5.75,22
hades,TRUE,Hades,FALSE,Ultra Hopped Triple IPA,9.7,6.25,24
