date,vendor,time,attendees,site,end
2025-07-25,Studio Z Cycle's No Shower Happy Hour,6:05pm,,https://www.instagram.com/studiozcycle,
2025-08-15,Studio Z Cycle's No Shower Happy Hour,6:05pm,,https://www.instagram.com/studiozcycle,
2025-08-23,Anthony Sorce - Live Music ,7-9pm ,,https://www.instagram.com/ztownstreetband,
2025-08-30,David Noal & Al Bowers • Live Music ,7:30pm-9:30pm,,https://www.davidnoalmusic.com,
2025-09-12,Studio Z Cycle's No Shower Happy Hour ,6:05pm,,https://www.instagram.com/studiozcycle,
2025-09-13,Shelley Duff • Live Music,7-9pm,,https://www.instagram.com/shelleyduff,
2025-09-20,Skye Burkett • Live Music,7-9pm,,https://www.instagram.com/skye_burkett,
2025-09-27,Oktoberfest ,2-9pm,,https://www.instagram.com/lolevzelie/,
2025-09-27,Notorious Dr. D • Live Music,7-9pm,,https://www.instagram.com/notorious.dr.d,
2025-10-03,DJ K5MP ,7-8:30pm,,https://www.instagram.com/djk5mp,
2025-10-04,Waldo Young,7-9pm,,https://www.facebook.com/p/Waldo-Young-Band-100066884258362/,
2025-10-11,Adam Fitz • Live Music,7-9pm ,,https://www.instagram.com/adamfitzmusic,
2025-10-18,Vince Burgess • Live Music ,7-9pm,,http://thisthatandtheotherthingband.com/,
2025-10-24,Witching Wellness Hour , 5-7pm,,https://www.calmbreathyoga.com/event-details/witching-wellness-hour-1,
2025-10-25,Eclectic Acoustics • Live Music,7-9pm,,https://www.eclectic-acoustics.com,
2025-10-30,Halloween at Lolev,6:30-9:30pm,,https://www.eventbrite.com/e/sever-ween-costume-party-tickets-1830389246509?utm-campaign=social&utm-content=attendeeshare&utm-medium=discovery&utm-term=listing&utm-source=wsa&aff=ebdsshwebmobile,
2025-11-01,Ether & Echo • Live Music ,7-9pm,,https://www.instagram.com/etherandecho?igsh=bmYzdXFsazJpeDJu&utm_source=qr,
2025-11-07,I Lolev Karaoke,9-11:30PM,,,
2025-11-08,The LangwelZ - Live Music,7-9PM,,http://www.thelangwelz.com/,
2025-11-15,Hellie and Tony ,7-9PM,,https://www.instagram.com/hellieandtony?igsh=MWw3NW05MHBmNXoyNQ%3D%3D&utm_source=qr,
2025-11-20,Studio Z Cycle's No Shower Happy Hour ,6:05pm,,https://www.instagram.com/studiozcycle?igsh=MXBuZGV0djg3emd5Yw==,
2025-11-21,I Lolev Karaoke,9-11:30PM,,,
2025-11-22,Bricks and Drafts ,,,,
2025-11-22,David Noal & Al Bowers - Live Music,7:30-9:30pm,,https://www.davidnoalmusic.com,
2025-12-05,I Lolev Karaoke,9-11:30pm,,,
2025-12-19,I Lolev Karaoke,9-11:30pm,,,
